Step,Value
0,-84451.7890625
1,-84976.59765625
2,-83463.79511718749
3,-68910.70959960937
4,-51665.93321240234
5,-36280.07895134277
6,-26051.562451185302
7,-18526.620061043886
8,-13687.494445928527
9,-11401.610501181667
10,-9281.662328697772
11,-8012.746309551989
12,-6898.246942029105
13,-6104.155605092356
14,-5437.758906981907
15,-5063.867776842927
16,-4720.41041725259
17,-4545.323167698559
18,-4562.722021894688
19,-4507.549392356546
20,-4567.96076714113
21,-4488.22337559486
22,-4621.929788863222
23,-4525.908415495469
24,-4458.4032874548675
25,-4404.216360478476
26,-4832.51329056101
27,-5023.223775583407
28,-5016.034199246402
29,-5115.537415057036
30,-4716.775882287073
31,-4390.619032959254
32,-4658.860745446952
33,-4451.851415692862
34,-4033.319911899579
35,-4010.4407674417575
36,-3737.66264629808
37,-3845.329243042971
38,-3568.069122724025
39,-3453.9445025245222
40,-3475.467820683908
41,-1981.3044527072354
