Wall time,Step,Value
1746616466.7842293,0,-73148.890625
1746616470.5242486,1,-74040.453125
1746616476.1560535,2,-73289.1875
1746616481.7525012,3,-28498.84765625
1746616487.2613635,4,-8550.6240234375
1746616493.0574105,5,-7308.99853515625
1746616499.027645,6,-6730.6416015625
1746616504.8037138,7,-6410.2109375
1746616510.5086527,8,-6562.86669921875
1746616516.2786684,9,-5650.08642578125
1746616521.8496163,10,-6304.5859375
1746616527.5380132,11,-7608.56005859375
1746616533.1536303,12,-8743.9287109375
1746616538.8692365,13,-5557.02587890625
1746616544.5380878,14,-4402.828125
1746616550.2703323,15,-4916.84765625
1746616556.0583923,16,-5331.05322265625
1746616561.839423,17,-5512.47314453125
1746616567.5896137,18,-5537.6923828125
1746616573.2806163,19,-5189.357421875
1746616578.970825,20,-4541.15771484375
1746616584.9946182,21,-4329.02978515625
1746616591.1206465,22,-4548.56982421875
1746616597.3488488,23,-4582.79296875
1746616603.4065142,24,-4704.2158203125
1746616609.228883,25,-3267.289794921875
1746616614.815416,26,-3983.962646484375
1746616620.486931,27,-3432.836669921875
1746616626.0904183,28,-3438.09130859375
1746616631.5935442,29,-3614.958251953125
1746616637.3050551,30,-3456.068115234375
1746616642.955012,31,-3160.42529296875
1746616648.6204338,32,-3863.832275390625
1746616654.0895045,33,-3374.3330078125
1746616659.714214,34,-3685.732421875
1746616663.6427405,35,-1163.416259765625
