Step,Value
0,-34.056495666503906
1,-32.3796272277832
2,-35.95871086120606
3,-39.200144977569586
4,-42.23075860691071
5,-44.90747275013924
6,-47.51856043289423
7,-50.21076156693471
8,-51.863487045944794
9,-52.917965720925636
10,-53.38571882268669
11,-54.0991739036416
12,-54.26720187082973
13,-54.54399304253681
14,-54.91513666275541
15,-54.907532301037406
16,-54.866699697092734
17,-55.21066553720656
18,-55.408897974386804
19,-55.41851779177859
20,-55.42444530031893
21,-55.253265268271576
22,-55.435609149600666
23,-55.336207871154706
24,-55.605943469045954
25,-55.592471801899514
26,-55.41076369793539
27,-55.45481644823776
28,-55.50211464903188
29,-55.41314980000473
30,-55.17499553679113
31,-54.83145990561328
32,-54.36900459927568
33,-53.925299226461966
34,-53.40875833266601
35,-52.80172448236328
36,-52.633080762096185
37,-52.45001058503762
38,-52.15842967446704
39,-51.84825737112413
40,-51.4557979326308
41,-50.98754649835141
42,-50.75001671170905
43,-50.65467233178375
44,-50.55626606056843
45,-50.755413393609636
46,-50.82772054808137
47,-50.96396419163821
48,-50.978409823207414
49,-50.94663515087376
50,-50.84305197235891
51,-50.66647305986689
52,-50.529776865901496
53,-50.33283902253971
54,-50.121594962371645
55,-49.84561531579422
56,-49.60056070000468
57,-49.34971628769197
58,-49.04036358849569
59,-48.710747381825335
60,-48.630799436233666
61,-48.509780289841586
62,-48.472157927151486
63,-48.39580788615005
64,-48.54834637882569
65,-48.66303293671131
66,-48.732283364246605
67,-48.880705401235595
68,-48.98069435575973
69,-48.996966629092555
70,-49.022321689660316
71,-49.03816060051791
72,-49.01198763501298
73,-48.94680810395781
74,-48.99613954186755
75,-49.1222900522378
76,-49.18427949117948
77,-49.20255355260998
78,-49.18472354401047
79,-49.129184697772665
80,-49.03489740143196
81,-48.98228139015516
82,-48.933737170523486
83,-48.95936987802602
84,-48.92733153804574
85,-48.8796763950464
86,-48.86572668292079
87,-48.832192028932376
88,-48.85559167918236
89,-48.82808853674104
90,-48.75314664905215
91,-48.674956679892574
92,-48.58684412883642
93,-48.490108555653535
94,-48.48890748836996
95,-48.480017051454794
96,-48.44174538210328
97,-48.36145426265399
98,-48.351030945948764
99,-48.428663855936335
100,-48.44285873097606
101,-48.44164579504791
102,-48.414254478464066
103,-48.35509749260754
104,-48.273608305117776
105,-48.19160636599074
106,-48.08210388307699
107,-47.97985662184347
108,-47.93854142812749
109,-47.866001905497725
110,-47.84001855082541
111,-47.775316045911566
112,-47.719144752916435
113,-47.67995761792086
114,-47.61195979432453
115,-47.521361732768625
116,-47.42141255403009
117,-47.302490259853805
118,-47.16322881956958
119,-47.01410918169274
120,-46.84716812792516
121,-46.66247533976666
122,-46.486976223555075
123,-46.34689487791244
124,-46.19778384874022
125,-46.13246678107274
126,-46.14992796355783
127,-46.208614573162336
128,-46.247669219463376
129,-46.31360149340422
130,-46.41859145127835
131,-46.47922898022967
132,-46.4977546750043
133,-46.59192959326049
134,-46.65473832169085
135,-46.68578630146457
136,-46.675015829389416
137,-46.631248272485884
138,-46.5580095484587
139,-46.518135554544386
140,-46.456276732593196
141,-46.51315661094884
142,-46.564295721540404
143,-46.6781062201819
144,-46.747890874617994
145,-46.78947406624024
146,-46.89319479437793
147,-46.94679568386382
148,-46.99069761882087
149,-46.99937656822186
150,-46.984355298747865
151,-46.97839073226821
152,-47.06806305351929
153,-47.183811847444524
154,-47.27673434065255
155,-47.35088676432274
156,-47.44225189573146
157,-47.52846442722867
158,-47.58291840358626
159,-47.60077315403465
160,-47.596962227011
161,-47.6757593388822
162,-47.715463896607005
163,-47.72312024137621
164,-47.69687800473032
165,-47.711620061955344
166,-47.72073074376312
167,-47.7577562487758
168,-47.76353651415718
169,-47.73604464939933
170,-47.73794969667937
171,-47.71569661137913
172,-47.67798170707461
173,-47.64885315371117
174,-47.62037226469991
175,-47.60271296277568
176,-47.56919745970454
177,-47.515156913930014
178,-47.47678070044891
179,-47.50204914073069
180,-47.507377984831045
181,-47.51950637926947
182,-47.508950074173484
183,-47.48179255297666
184,-47.429514209580944
185,-47.46029219441578
186,-47.46860355934521
187,-47.55833290001618
188,-47.61151781761385
189,-47.63546702485459
190,-47.64169554748138
191,-47.65747887405058
192,-47.64650104776477
193,-47.646855602514115
194,-47.62559744951493
195,-47.62362642339628
196,-47.60381044908362
197,-47.56257150043446
198,-47.55192921408999
199,-47.51956135602434
200,-47.53116286581648
201,-47.5280156499943
202,-47.504517991521034
203,-47.536829604011146
204,-47.554833643939254
205,-47.54998288781468
206,-47.575889041983785
207,-47.5777688158742
