Step,Value
0,-59318.52734375
1,-58759.3791015625
2,-59193.04270507813
3,-45168.19416455078
4,-32397.281431567382
5,-24110.715205909422
6,-18530.266373098937
7,-14609.367185483059
8,-11394.932493806176
9,-9819.736003786515
10,-8348.943832148734
11,-7228.264345388865
12,-7069.8766340730745
13,-6350.318786756873
14,-5743.82588814978
15,-5183.701060695795
16,-5043.226001952267
17,-5066.1118915033485
18,-4984.704223617801
19,-4751.777301015633
20,-4634.315743707037
21,-4348.200545909574
22,-4313.457283552161
23,-4445.322771418279
24,-4267.308116851569
25,-4262.709406812895
26,-4192.848113940101
27,-4044.317301893097
28,-3894.4546104883257
29,-4411.367518301787
30,-4137.579560724287
31,-3889.601836541099
32,-3671.376569728277
33,-3698.6802927843178
34,-3476.6530179465253
35,-3384.4300891066478
36,-3345.4580125091647
37,-3333.932620240332
38,-3399.845924835903
39,-3315.1330298542744
40,-3133.164826338872
41,-3213.892793858548
42,-3150.364471281494
43,-3091.9052535009396
44,-3035.9284172170173
45,-3016.786613280905
46,-1820.1524882077838
