Step,Value
0,-0.265318870544434
1,-3.41966919898987
2,-8.45360373735428
3,-11.3586292206049
4,-12.9995612092793
5,-13.8422080139104
6,-14.1638828218793
7,-14.1434899375531
8,-13.8976429357965
9,-14.0464055663957
10,-14.2194149481874
11,-14.1785246004143
12,-13.9872014710363
13,-13.6877586882013
14,-13.3165460740122
15,-13.6889453160171
16,-13.867390389571
17,-13.8971224626203
18,-13.813674994335
19,-13.6449837782201
20,-13.4123160206759
21,-13.2430742560785
22,-13.0207985462861
23,-12.7607667713165
24,-12.4734322655677
25,-12.1684732957887
26,-12.0088263477461
27,-11.8146469897767
28,-11.5952193638413
29,-11.3587332522491
30,-11.2366515320814
31,-11.0851251596148
32,-10.9116477198248
33,-10.7222268405376
34,-10.5206965654488
35,-10.3108763060953
36,-10.0965886292545
37,-9.87999381135255
38,-9.66459878170289
39,-9.45081380110212
40,-9.23957453008536
41,-9.28261517247197
42,-9.2869587078347
43,-9.25929762069941
44,-9.33328320754445
45,-9.4957512919798
46,-9.60119301865402
47,-9.6973686553182
48,-9.74878194794759
49,-9.97347499167769
50,-10.1319744452881
51,-10.2353693490515
52,-10.2934531716999
53,-10.3138215160591
54,-10.5007706675717
55,-10.6299029235761
56,-10.7265529869012
57,-10.7802735529652
58,-10.7985321549539
59,-10.7871905374298
60,-10.7518249885841
61,-10.696614306779
62,-10.7019335144457
63,-10.813948909108
64,-10.8973918892091
65,-10.9427124099507
66,-11.0643647353935
67,-11.1421752159719
68,-11.1835968888984
69,-11.1948405243564
70,-11.1810356455015
71,-11.1464517956398
72,-11.0951712726164
73,-11.029983106138
74,-10.9536954218641
75,-10.8686439142943
76,-10.7765492791307
77,-10.678915735604
78,-10.5772274345591
79,-10.4723625271389
80,-10.3914836958586
81,-10.3050552813419
82,-10.2142963883258
83,-10.1310044214557
84,-10.0434222015357
85,-9.95283299125466
86,-9.86008165897576
87,-9.8033284070929
88,-9.73954906904837
89,-9.67016462701082
90,-9.59663597330343
91,-9.51963394927142
92,-9.44013818244223
93,-9.35862987954489
94,-9.27559517086755
95,-9.25737153015563
96,-9.22803909126644
97,-9.18948604625628
98,-9.18634170758566
99,-9.17036998368964
